temp,treatment,infection_status,ID,total_spvs,death,secondary
16,0,Uninfected,131,0,37,FALSE
16,0,Uninfected,122,0,48,FALSE
16,0,Uninfected,107,0,55,FALSE
16,0,Uninfected,140,0,96,FALSE
16,0,Uninfected,167,0,103,FALSE
16,0,Uninfected,113,0,112,FALSE
16,0,Uninfected,110,0,117,FALSE
16,0,Uninfected,164,0,122,FALSE
16,0,Uninfected,104,0,129,FALSE
16,0,Uninfected,149,0,136,FALSE
16,0,Uninfected,128,0,138,FALSE
16,0,Uninfected,152,0,142,FALSE
16,0,Uninfected,125,0,149,FALSE
16,0,Uninfected,137,0,149,FALSE
16,0,Uninfected,155,0,156,FALSE
16,0,Uninfected,116,0,159,FALSE
16,0,Uninfected,119,0,163,FALSE
20,1,Infected,242,25,12,FALSE
20,1,Infected,208,23,31,FALSE
20,1,Infected,241,71,32,FALSE
20,1,Infected,221,122,33,FALSE
20,1,Infected,227,12,39,FALSE
20,1,Infected,265,68,46,FALSE
20,1,Infected,271,53,47,FALSE
20,1,Infected,266,48,49,FALSE
20,1,Infected,202,82,50,FALSE
20,1,Infected,220,31,50,FALSE
20,1,Infected,260,117,52,FALSE
20,1,Infected,247,180,54,FALSE
20,1,Infected,206,57,55,FALSE
20,1,Infected,253,146,55,FALSE
20,1,Infected,217,111,56,FALSE
20,1,Infected,235,177,71,FALSE
20,1,Infected,226,121,74,FALSE
20,1,Infected,233,188,74,FALSE
20,1,Infected,236,55,75,FALSE
20,1,Infected,214,40,76,FALSE
20,1,Infected,250,85,82,FALSE
20,1,Infected,218,129,83,FALSE
20,1,Infected,229,459,84,FALSE
20,1,Infected,239,263,84,FALSE
20,1,Infected,263,120,85,FALSE
20,1,Infected,238,141,86,FALSE
20,1,Infected,203,130,107,FALSE
20,1,Infected,212,0,43,FALSE
20,1,Infected,224,0,85,FALSE
20,1,Infected,244,0,89,FALSE
20,1,Infected,230,NA,33,TRUE
20,1,Infected,272,NA,43,TRUE
20,1,Infected,205,NA,80,TRUE
20,0,Uninfected,219,0,40,FALSE
20,0,Uninfected,225,0,52,FALSE
20,0,Uninfected,270,0,59,FALSE
20,0,Uninfected,252,0,63,FALSE
20,0,Uninfected,204,0,65,FALSE
20,0,Uninfected,222,0,67,FALSE
20,0,Uninfected,231,0,70,FALSE
20,0,Uninfected,234,0,71,FALSE
20,0,Uninfected,207,0,72,FALSE
20,0,Uninfected,237,0,76,FALSE
20,0,Uninfected,249,0,80,FALSE
20,0,Uninfected,228,0,81,FALSE
20,0,Uninfected,243,0,81,FALSE
20,0,Uninfected,201,0,82,FALSE
20,0,Uninfected,267,0,82,FALSE
20,0,Uninfected,240,0,83,FALSE
20,0,Uninfected,246,0,86,FALSE
20,0,Uninfected,213,0,88,FALSE
20,0,Uninfected,258,0,90,FALSE
20,0,Uninfected,255,0,91,FALSE
20,0,Uninfected,216,0,92,FALSE
20,0,Uninfected,210,0,93,FALSE
24,1,Infected,302,0,6,FALSE
24,1,Infected,371,64,12,FALSE
24,1,Infected,372,7,17,FALSE
24,1,Infected,321,67,23,FALSE
24,1,Infected,351,101,26,FALSE
24,1,Infected,306,10,28,FALSE
24,1,Infected,315,91,32,FALSE
24,1,Infected,335,47,32,FALSE
24,1,Infected,341,9,32,FALSE
24,1,Infected,332,25,33,FALSE
24,1,Infected,311,48,35,FALSE
24,1,Infected,309,10,36,FALSE
24,1,Infected,323,41,36,FALSE
24,1,Infected,326,23,36,FALSE
24,1,Infected,327,62,36,FALSE
24,1,Infected,333,11,36,FALSE
24,1,Infected,357,75,36,FALSE
24,1,Infected,317,95,37,FALSE
24,1,Infected,320,12,38,FALSE
24,1,Infected,347,25,38,FALSE
24,1,Infected,362,21,38,FALSE
24,1,Infected,368,7,38,FALSE
24,1,Infected,329,57,39,FALSE
24,1,Infected,365,1,44,FALSE
24,1,Infected,314,18,45,FALSE
24,1,Infected,345,6,46,FALSE
24,1,Infected,354,59,46,FALSE
24,1,Infected,336,2,48,FALSE
24,1,Infected,350,104,60,FALSE
24,1,Infected,356,95,62,FALSE
24,1,Infected,338,41,68,FALSE
24,1,Infected,348,40,74,FALSE
24,1,Infected,330,0,34,FALSE
24,1,Infected,339,0,65,FALSE
24,1,Infected,318,NA,30,TRUE
24,1,Infected,324,NA,30,TRUE
24,1,Infected,369,NA,31,TRUE
24,1,Infected,308,NA,52,TRUE
24,0,Uninfected,319,0,10,FALSE
24,0,Uninfected,343,0,12,FALSE
24,0,Uninfected,352,0,16,FALSE
24,0,Uninfected,334,0,21,FALSE
24,0,Uninfected,370,0,29,FALSE
